epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.484,0.97183,0.83951,1.56954,0.88472,0.96688,0.97943,0.59154,1.08969,0.94673,1.61238,0.000166406,0.000166406,0.0668852
2,281.101,0.83193,0.63983,1.44486,0.83228,0.95349,0.99383,0.77963,0.87143,0.71174,1.42659,0.000330874,0.000330874,0.0337164
3,416.461,0.78758,0.5958,1.40533,0.99276,0.99759,0.99374,0.88019,0.54437,0.31505,1.04055,0.000493143,0.000493143,0.000545307
4,549.978,0.74208,0.56518,1.36179,0.99833,0.99989,0.99471,0.83024,0.69704,0.30322,1.17065,0.0004901,0.0004901,0.0004901
5,682.113,0.7095,0.52533,1.33848,0.99824,0.99938,0.9944,0.80388,0.77162,0.34153,1.28472,0.0004868,0.0004868,0.0004868
6,814.429,0.67291,0.49248,1.30031,0.99818,1,0.99425,0.91473,0.4553,0.24094,0.91071,0.0004835,0.0004835,0.0004835
7,947.844,0.65685,0.48194,1.28672,0.99781,0.99986,0.99476,0.84768,0.64463,0.28844,1.1177,0.0004802,0.0004802,0.0004802
8,1080.98,0.63561,0.46067,1.26939,0.99117,0.99459,0.99419,0.84052,0.67245,0.30496,1.16509,0.0004769,0.0004769,0.0004769
9,1215.07,0.62267,0.44965,1.25852,0.99813,0.99966,0.99449,0.85606,0.61739,0.29403,1.08724,0.0004736,0.0004736,0.0004736
10,1348.42,0.60427,0.43347,1.24438,0.97449,0.98928,0.99468,0.85452,0.61915,0.30981,1.08862,0.0004703,0.0004703,0.0004703
11,1480.75,0.59721,0.42447,1.23538,0.99865,0.99988,0.99457,0.87618,0.59806,0.25981,1.05896,0.000467,0.000467,0.000467
12,1615.02,0.5732,0.40726,1.21447,0.99828,1,0.99484,0.85194,0.67431,0.28557,1.17105,0.0004637,0.0004637,0.0004637
13,1747.18,0.56767,0.40519,1.21553,0.99825,0.9996,0.99393,0.88319,0.53378,0.23882,0.98788,0.0004604,0.0004604,0.0004604
14,1882.08,0.56206,0.40093,1.2098,0.99859,0.9999,0.99402,0.88421,0.53834,0.24262,0.99148,0.0004571,0.0004571,0.0004571
15,2016.2,0.5583,0.38963,1.20109,0.99771,0.99934,0.99424,0.90722,0.48106,0.22962,0.94941,0.0004538,0.0004538,0.0004538
16,2148.63,0.54627,0.38014,1.19031,0.99825,1,0.99448,0.92281,0.44375,0.22359,0.89312,0.0004505,0.0004505,0.0004505
17,2280.23,0.54074,0.37896,1.18928,0.99391,0.99517,0.99463,0.88447,0.66425,0.40557,1.10657,0.0004472,0.0004472,0.0004472
18,2411.82,0.53345,0.3691,1.18234,0.99862,1,0.99443,0.91047,0.48863,0.24273,0.97353,0.0004439,0.0004439,0.0004439
19,2543.25,0.52565,0.35991,1.1759,0.99868,1,0.99448,0.92215,0.43916,0.20672,0.88865,0.0004406,0.0004406,0.0004406
20,2674.97,0.51884,0.35916,1.17097,0.9987,0.99974,0.99449,0.90032,0.48615,0.22565,0.93987,0.0004373,0.0004373,0.0004373
21,2806.71,0.50996,0.35546,1.16198,0.99857,0.99958,0.99466,0.9207,0.46261,0.21467,0.91947,0.000434,0.000434,0.000434
22,2938.11,0.51189,0.35454,1.16675,0.99779,0.99799,0.99432,0.93443,0.40675,0.23085,0.86803,0.0004307,0.0004307,0.0004307
23,3066.54,0.4999,0.34948,1.15487,0.99853,1,0.99441,0.91841,0.45976,0.21838,0.91501,0.0004274,0.0004274,0.0004274
24,3196.79,0.50075,0.34658,1.15736,0.99829,0.99958,0.99438,0.91369,0.45759,0.20861,0.92,0.0004241,0.0004241,0.0004241
25,3325.66,0.49693,0.34572,1.15192,0.9986,0.99965,0.99434,0.92223,0.4609,0.21419,0.9093,0.0004208,0.0004208,0.0004208
26,3454.95,0.49197,0.34177,1.15061,0.99798,0.99923,0.99448,0.91288,0.44459,0.22244,0.90803,0.0004175,0.0004175,0.0004175
27,3584.02,0.48978,0.33779,1.14852,0.99861,0.99978,0.99433,0.92409,0.42802,0.20726,0.89306,0.0004142,0.0004142,0.0004142
28,3713.25,0.47606,0.32931,1.13453,0.99815,0.99952,0.99435,0.92934,0.44294,0.21518,0.90136,0.0004109,0.0004109,0.0004109
29,3842.4,0.48318,0.33666,1.14198,0.99707,1,0.99432,0.90758,0.48859,0.21581,0.95334,0.0004076,0.0004076,0.0004076
30,3971.59,0.46856,0.31937,1.12886,0.99857,1,0.99418,0.91787,0.47875,0.23207,0.93514,0.0004043,0.0004043,0.0004043
31,4100.75,0.47,0.32229,1.12823,0.99862,0.99996,0.99428,0.92917,0.4269,0.21064,0.87379,0.000401,0.000401,0.000401
32,4229.95,0.45826,0.30944,1.12079,0.99864,0.99972,0.99424,0.90624,0.52248,0.23261,1.00576,0.0003977,0.0003977,0.0003977
33,4358.38,0.46179,0.31492,1.11968,0.99861,0.99999,0.99448,0.92839,0.43686,0.20752,0.89224,0.0003944,0.0003944,0.0003944
34,4486.86,0.46754,0.31821,1.12584,0.9987,1,0.99429,0.91242,0.48493,0.21753,0.93541,0.0003911,0.0003911,0.0003911
35,4616.34,0.46551,0.31289,1.12387,0.99862,0.99973,0.99433,0.91823,0.4766,0.22042,0.93588,0.0003878,0.0003878,0.0003878
36,4745.22,0.45749,0.31048,1.12218,0.99854,1,0.99422,0.93298,0.40428,0.19504,0.85617,0.0003845,0.0003845,0.0003845
37,4874.29,0.45472,0.30926,1.11703,0.99866,0.99994,0.99459,0.91341,0.48026,0.21288,0.94454,0.0003812,0.0003812,0.0003812
38,5004.41,0.45366,0.3058,1.11405,0.99824,0.9996,0.99422,0.93825,0.39408,0.18023,0.84402,0.0003779,0.0003779,0.0003779
39,5133.88,0.44593,0.30533,1.11113,0.99836,0.99965,0.99454,0.91552,0.47707,0.20954,0.94177,0.0003746,0.0003746,0.0003746
40,5263.09,0.44695,0.30463,1.11136,0.99789,0.99962,0.99442,0.92704,0.42519,0.18776,0.87306,0.0003713,0.0003713,0.0003713
41,5392.87,0.44342,0.29838,1.10959,0.99781,0.99962,0.99436,0.9171,0.46355,0.19921,0.92756,0.000368,0.000368,0.000368
42,5522.04,0.4402,0.29598,1.1039,0.99829,0.99964,0.9945,0.93421,0.39058,0.18095,0.84393,0.0003647,0.0003647,0.0003647
43,5651.53,0.43733,0.29419,1.1018,0.9983,0.99994,0.99441,0.92525,0.4184,0.20368,0.89453,0.0003614,0.0003614,0.0003614
44,5780.13,0.43686,0.29478,1.10499,0.99811,1,0.99458,0.93327,0.41956,0.20913,0.87418,0.0003581,0.0003581,0.0003581
45,5910.08,0.44048,0.29361,1.10505,0.9987,1,0.99435,0.93809,0.3845,0.1837,0.83739,0.0003548,0.0003548,0.0003548
46,6039.19,0.43501,0.29012,1.09883,0.99873,1,0.99461,0.91571,0.44529,0.20027,0.90161,0.0003515,0.0003515,0.0003515
47,6168.8,0.42666,0.28868,1.09616,0.99865,1,0.99442,0.90658,0.521,0.24134,0.99817,0.0003482,0.0003482,0.0003482
48,6298.37,0.4327,0.29011,1.09872,0.99873,1,0.99446,0.92368,0.45741,0.20883,0.91619,0.0003449,0.0003449,0.0003449
49,6428.74,0.42775,0.28478,1.09642,0.99848,0.99964,0.99424,0.91159,0.50352,0.23333,0.96843,0.0003416,0.0003416,0.0003416
50,6557.94,0.42565,0.28548,1.09371,0.99867,1,0.99414,0.90576,0.51995,0.21576,0.99467,0.0003383,0.0003383,0.0003383
51,6689.53,0.42694,0.2871,1.09679,0.99868,1,0.99444,0.9177,0.45402,0.19614,0.90387,0.000335,0.000335,0.000335
52,6819.66,0.42386,0.27978,1.09373,0.9987,1,0.99458,0.93028,0.43691,0.20206,0.89382,0.0003317,0.0003317,0.0003317
53,6951.27,0.42249,0.28332,1.09496,0.99871,1,0.99427,0.90687,0.51522,0.21866,0.99202,0.0003284,0.0003284,0.0003284
54,7081.58,0.41989,0.28029,1.08939,0.99864,1,0.99437,0.94063,0.38065,0.17123,0.82391,0.0003251,0.0003251,0.0003251
55,7212.11,0.41605,0.27661,1.08691,0.99866,1,0.99453,0.92399,0.43387,0.18877,0.88278,0.0003218,0.0003218,0.0003218
56,7342.18,0.41513,0.28004,1.08577,0.99857,0.99968,0.99451,0.92444,0.43475,0.19652,0.89099,0.0003185,0.0003185,0.0003185
57,7472.71,0.4123,0.27549,1.08314,0.9984,0.99972,0.99421,0.9332,0.40992,0.18506,0.86544,0.0003152,0.0003152,0.0003152
58,7602.61,0.40778,0.26781,1.07881,0.99806,0.99963,0.99452,0.93204,0.41081,0.20436,0.86841,0.0003119,0.0003119,0.0003119
59,7732.11,0.40787,0.27505,1.07911,0.99851,0.99985,0.99428,0.92657,0.41995,0.19983,0.88037,0.0003086,0.0003086,0.0003086
60,7860.61,0.40495,0.27025,1.07825,0.99861,0.99969,0.99441,0.91975,0.4315,0.18773,0.88858,0.0003053,0.0003053,0.0003053
61,7990.35,0.40629,0.2727,1.07746,0.99861,0.9997,0.99424,0.92511,0.42368,0.1829,0.88173,0.000302,0.000302,0.000302
62,8120.56,0.40358,0.26963,1.07684,0.99864,0.99968,0.99436,0.92485,0.41805,0.17357,0.8763,0.0002987,0.0002987,0.0002987
63,8250.93,0.40146,0.26953,1.0768,0.99867,1,0.99444,0.93009,0.40308,0.18175,0.8553,0.0002954,0.0002954,0.0002954
64,8381.26,0.40061,0.26429,1.07244,0.99856,1,0.99483,0.91724,0.46673,0.189,0.92249,0.0002921,0.0002921,0.0002921
65,8510.97,0.39669,0.26206,1.07376,0.99858,0.99991,0.99455,0.92451,0.43349,0.17807,0.88439,0.0002888,0.0002888,0.0002888
66,8641.18,0.39988,0.26463,1.07214,0.9986,0.99979,0.99447,0.92815,0.41236,0.18435,0.86978,0.0002855,0.0002855,0.0002855
67,8771.53,0.39881,0.26633,1.07431,0.99868,1,0.99461,0.92449,0.4375,0.18057,0.8956,0.0002822,0.0002822,0.0002822
68,8903.75,0.39645,0.2625,1.07207,0.99871,1,0.99469,0.93847,0.38578,0.17697,0.84295,0.0002789,0.0002789,0.0002789
69,9037.48,0.38946,0.25766,1.06858,0.99866,0.99966,0.99453,0.93534,0.39021,0.1673,0.84043,0.0002756,0.0002756,0.0002756
